src_ip,dst_ip,src_port,dst_port,proto,ts,count,fwd_count,bwd_count,ps_mean,ps_max,ps_min,ps_var,ps_fwd_mean,ps_fwd_max,ps_fwd_min,ps_fwd_var,ps_bwd_mean,ps_bwd_max,ps_bwd_min,ps_bwd_var,iat_mean,iat_max,iat_min,iat_var,iat_fwd_mean,iat_fwd_max,iat_fwd_min,iat_fwd_var,iat_bwd_mean,iat_bwd_max,iat_bwd_min,iat_bwd_var,dur,l4_proto,service_port,category,label
192.168.1.195,239.255.255.250,63489,1900,17,1556540493.678112,6,6,0,165.0,165,165,0.0,165.0,165,165,0.0,0.0,0,0,0.0,1.202304220199585,3.0150249004364014,3.0040740966796875e-05,2.1682006086931915,1.202304220199585,3.0150249004364014,3.0040740966796875e-05,2.1682006086931915,0.0,0.0,0.0,0.0,6.011521100997925,17,1900,N,0
192.168.1.152,192.168.1.195,1880,49797,6,1556540502.34073,305,154,151,333.2918032786885,1500,40,142346.58042461702,620.8701298701299,1500,44,114874.51560128185,40.0,40,40,0.0,0.19634655902260228,1.042816162109375,1.9073486328125e-06,0.07866294815691384,0.39012498637430026,1.0429351329803467,6.9141387939453125e-06,0.0808914682635339,0.3979219404856364,1.042983055114746,1.9073486328125e-06,0.07940334003018672,59.689353942871094,6,1880,N,0
192.168.1.190,162.159.25.38,54315,53,6,1556540527.556985,10,5,5,159.7,1066,40,92926.00999999998,44.0,60,40,64.0,275.4,1066,40,159015.03999999998,0.00998279783460829,0.06366515159606934,2.288818359375e-05,0.00038238178511018774,0.006545007228851318,0.013592004776000977,0.0001418590545654297,3.904217241412766e-05,0.019514262676239014,0.06446313858032227,2.288818359375e-05,0.0006954184078544756,0.08984518051147461,6,53,N,0
192.168.1.195,239.255.255.250,64020,3702,17,1556540554.66003,8,8,0,1106.0,1106,1106,0.0,1106.0,1106,1106,0.0,0.0,0,0,0.0,0.12427112034388951,0.45336198806762695,3.0040740966796875e-05,0.027820294810038258,0.12427112034388951,0.45336198806762695,3.0040740966796875e-05,0.027820294810038258,0.0,0.0,0.0,0.0,0.8698978424072266,17,3702,N,0
192.168.1.152,192.168.1.195,1880,49797,6,1556540562.399813,295,150,145,342.2983050847458,1500,40,158512.30423441538,634.52,1500,44,138009.2229333333,40.0,40,40,0.0,0.20290085085395243,1.049631118774414,1.9073486328125e-06,0.0823457134444166,0.4003546109935581,1.050523042678833,1.0013580322265625e-05,0.08372667752660712,0.4142547779613071,1.0498661994934082,1.9073486328125e-06,0.08082433321915197,59.65285015106201,6,1880,N,0
192.168.1.195,239.255.255.250,64020,3702,17,1556540614.574487,8,8,0,1106.0,1106,1106,0.0,1106.0,1106,1106,0.0,0.0,0,0,0.0,0.12842202186584473,0.4537479877471924,3.504753112792969e-05,0.02779737421496975,0.12842202186584473,0.4537479877471924,3.504753112792969e-05,0.02779737421496975,0.0,0.0,0.0,0.0,0.8989541530609131,17,3702,N,0
192.168.1.152,192.168.1.195,1880,49797,6,1556540622.429934,308,155,153,329.86038961038963,1500,40,140159.60063880926,615.9806451612903,1500,44,113710.9609157128,40.0,40,40,0.0,0.1943421860859526,1.0021531581878662,1.9073486328125e-06,0.06941538087193874,0.38742216221697917,1.002289056777954,9.059906005859375e-06,0.06375307268941852,0.3925175337414992,1.0023369789123535,1.9073486328125e-06,0.06259858992592555,59.66305112838745,6,1880,N,0
192.168.1.195,239.255.255.250,64020,3702,17,1556540674.574704,8,8,0,1106.0,1106,1106,0.0,1106.0,1106,1106,0.0,0.0,0,0,0.0,0.16301587649754115,0.45455193519592285,2.4080276489257812e-05,0.04005510450018829,0.16301587649754115,0.45455193519592285,2.4080276489257812e-05,0.04005510450018829,0.0,0.0,0.0,0.0,1.141111135482788,17,3702,N,0
192.168.1.193,239.255.255.250,62247,1900,17,1556540677.823763,12,12,0,161.0,161,161,0.0,161.0,161,161,0.0,0.0,0,0,0.0,1.363567287271673,3.0104401111602783,3.2901763916015625e-05,2.2310653546607733,1.363567287271673,3.0104401111602783,3.2901763916015625e-05,2.2310653546607733,0.0,0.0,0.0,0.0,14.999240159988403,17,1900,N,0
192.168.1.152,192.168.1.195,1880,49797,6,1556540682.443795,297,156,141,343.020202020202,1500,40,152826.67299255176,616.9038461538462,1500,44,132953.945882643,40.0,40,40,0.0,0.20174986446225965,1.0471980571746826,3.0994415283203125e-06,0.07764419794682367,0.38526336762212937,1.04774808883667,4.0531158447265625e-06,0.07774487658495816,0.42655507155827116,1.0474669933319092,5.0067901611328125e-06,0.06848285336850339,59.71795988082886,6,1880,N,0
192.168.1.195,40.90.190.179,49706,443,6,1556540689.683044,4,3,1,121.75,165,40,2323.6875,107.33333333333333,141,40,2266.888888888889,165.0,165,165,0.0,0.16122897466023764,0.3120729923248291,0.04732394218444824,0.012364254238428253,0.24184346199035645,0.3120729923248291,0.1716139316558838,0.004932186931000615,0.0,0.0,0.0,0.0,0.4836869239807129,6,443,N,0
