src_ip,dst_ip,src_port,dst_port,proto,ts,count,fwd_count,bwd_count,ps_mean,ps_max,ps_min,ps_var,ps_fwd_mean,ps_fwd_max,ps_fwd_min,ps_fwd_var,ps_bwd_mean,ps_bwd_max,ps_bwd_min,ps_bwd_var,iat_mean,iat_max,iat_min,iat_var,iat_fwd_mean,iat_fwd_max,iat_fwd_min,iat_fwd_var,iat_bwd_mean,iat_bwd_max,iat_bwd_min,iat_bwd_var,dur,l4_proto,service_port,category,label
192.168.1.152,3.122.49.24,52976,1883,6,1554346928.457149,445,251,194,179.84044943820226,1500,52,107647.74308294404,272.6414342629482,1500,52,171042.65230710624,59.77319587628866,92,52,67.9897970028696,0.13477070320833912,0.6724519729614258,9.5367431640625e-07,0.029584691399239582,0.23935276889801024,0.6724519729614258,5.1021575927734375e-05,0.030210152283754253,0.30834633698735214,1.0061829090118408,9.5367431640625e-07,0.09613716893748701,59.83819222450256,6,1883,N,0
192.168.1.152,192.168.1.195,1880,54163,6,1554346928.505359,537,280,257,533.9404096834264,6454,40,1131009.0988698506,987.3071428571428,6454,44,1739636.3342346938,40.0,40,40,0.0,0.11120257671199628,1.0350749492645264,1.9073486328125e-06,0.04842665582233134,0.21363581722355232,1.035330057144165,5.9604644775390625e-06,0.07123339960568234,0.23282964434474707,1.035207986831665,1.9073486328125e-06,0.07315489527216026,59.604581117630005,6,1880,N,0
127.0.0.1,127.0.0.1,42100,7878,6,1554346928.51782,181,121,60,135.060773480663,279,52,10251.327798296757,64.09917355371901,76,52,143.99016460624273,278.1666666666667,279,278,0.1388888888888889,0.3333333280351427,1.001514196395874,1.0013580322265625e-05,0.22213232107292827,0.499999992052714,1.001514196395874,8.702278137207031e-05,0.2498651527756976,0.9999872547085003,1.0016090869903564,0.9986438751220703,4.0927048912565113e-07,59.999999046325684,6,7878,N,0
192.168.1.190,192.168.1.190,43530,7878,6,1554346928.517908,180,120,60,135.38888888888889,279,52,10288.793209876545,64.0,76,52,144.0,278.1666666666667,279,278,0.1388888888888889,0.329605703247326,1.0015430450439453,5.9604644775390625e-06,0.22090724211430363,0.49579345278379294,1.0015430450439453,4.696846008300781e-05,0.24989424771861138,0.9999882366697667,1.001593828201294,0.9985530376434326,4.241400613489838e-07,58.99942088127136,6,7878,N,0
192.168.1.152,3.122.49.24,52976,1883,6,1554346988.470943,435,231,204,182.0390804597701,1500,52,110009.64215087856,290.4025974025974,1500,52,182081.20155169506,59.333333333333336,88,52,45.673202614379086,0.1375205945309406,0.6726899147033691,9.5367431640625e-07,0.031264048657165776,0.25949538272360095,0.6726899147033691,3.790855407714844e-05,0.02993719593607678,0.2907580636405005,1.0093867778778076,9.5367431640625e-07,0.1042217579150522,59.68393802642822,6,1883,N,0
192.168.1.152,192.168.1.195,1880,54163,6,1554346988.534881,575,305,270,500.6713043478261,5787,40,886801.1876113421,908.4786885245902,5787,44,1317666.282332706,40.0,40,40,0.0,0.10398408718640796,0.9996428489685059,2.86102294921875e-06,0.04578115598203668,0.19633721050463224,0.9998500347137451,6.9141387939453125e-06,0.06839163177883605,0.22188378443948398,0.9997758865356445,1.9073486328125e-05,0.0716181955531916,59.68686604499817,6,1880,N,0
127.0.0.1,127.0.0.1,42100,7878,6,1554346989.517518,182,121,61,135.66483516483515,279,52,10311.4535985992,63.900826446280995,76,52,143.99016460624273,278.0163934426229,279,278,0.016124697661918843,0.3314877636524854,1.0013580322265625,9.775161743164062e-06,0.22151305351719525,0.49999392628669737,1.0013580322265625,8.487701416015625e-05,0.24986350512458458,0.9999879002571106,1.0014710426330566,0.998183012008667,3.7979882302844693e-07,59.99928522109985,6,7878,N,0
192.168.1.190,192.168.1.190,43530,7878,6,1554346989.517798,183,122,61,135.33879781420765,279,52,10274.453522052017,64.0,76,52,144.0,278.0163934426229,279,278,0.016124697661918843,0.32966653200296253,1.0013229846954346,6.9141387939453125e-06,0.22093577215132415,0.4958620564011503,1.0013229846954346,4.696846008300781e-05,0.24990656227610947,0.9999876340230306,1.001457929611206,0.998053789138794,4.3130018803417947e-07,59.999308824539185,6,7878,N,0
192.168.1.152,3.122.49.24,52976,1883,6,1554347048.482698,417,229,188,186.68585131894486,1500,52,114408.59435616973,290.7423580786026,1500,52,184263.5013062299,59.93617021276596,92,52,64.76188320507015,0.14346786301869613,0.672152042388916,9.5367431640625e-07,0.03465846201585032,0.261765390111689,0.672152042388916,0.0008270740509033203,0.03531515163198832,0.3175065938164206,1.0255329608917236,9.5367431640625e-07,0.11369910204412338,59.68263101577759,6,1883,N,0
192.168.1.152,192.168.1.195,1880,54163,6,1554347048.563526,530,282,248,538.2094339622641,5074,40,958752.4410430758,976.3510638297872,5074,44,1391656.234910216,40.0,40,40,0.0,0.11279542504727051,1.0246059894561768,4.0531158447265625e-06,0.05930235184422486,0.2123440533770361,1.0247910022735596,6.9141387939453125e-06,0.09058834375708986,0.24157349397296365,1.0248308181762695,6.198883056640625e-06,0.09599071497422566,59.6687798500061,6,1880,N,0
127.0.0.1,127.0.0.1,42100,7878,6,1554347050.517892,183,122,61,135.33333333333334,278,52,10272.88888888889,64.0,76,52,144.0,278.0,278,278,0.0,0.3296687576796982,1.0013270378112793,9.775161743164062e-06,0.22090527806440188,0.49586540411326513,1.0013270378112793,8.702278137207031e-05,0.24985958301992256,0.9999917348225912,1.0014140605926514,0.9991028308868408,2.66210606822723e-07,59.99971389770508,6,7878,N,0
192.168.1.190,192.168.1.190,43530,7878,6,1554347050.517999,183,122,61,135.33333333333334,278,52,10272.88888888889,64.0,76,52,144.0,278.0,278,278,0.0,0.32966788522489776,1.0014550685882568,5.9604644775390625e-06,0.22093443937462837,0.4958640918258793,1.0014550685882568,4.601478576660156e-05,0.2499038810924536,0.9999917507171631,1.0015029907226562,0.9990859031677246,2.5441646243962164e-07,59.9995551109314,6,7878,N,0
192.168.1.195,52.230.84.217,52472,443,6,1554347083.141285,3,2,1,116.33333333333333,166,40,3001.555555555556,91.5,143,40,2652.25,166.0,166,166,0.0,0.10270202159881592,0.1529388427734375,0.052465200424194336,0.0025237382017309073,0.20540404319763184,0.20540404319763184,0.20540404319763184,0.0,0.0,0.0,0.0,0.0,0.20540404319763184,6,443,N,0
