dataset,subset,TPR,FPR,AUC
cicids_custom,Tuesday,0.9910858869552612,0.0060728746466338634,0.9998671251123696
cicids_custom,Wednesday,0.8929800987243652,0.0010373444529250264,0.9701813009046492
cicids_custom,Thursday,1.0,0.004407443571835756,0.9999786534066653
cicids_custom,Friday,0.9930894374847412,0.003350083716213703,0.9986472334171348
toniot_custom,backdoor,1.0,0.012476007454097271,1.0
toniot_custom,ddos,1.0,0.004659832455217838,1.0
toniot_custom,dos,1.0,0.007881773635745049,1.0
toniot_custom,injection,1.0,0.002801120514050126,1.0
toniot_custom,mitm,1.0,0.01516683492809534,1.0
toniot_custom,password,1.0,0.0038834952283650637,0.9999998186525522
toniot_custom,runsomware,1.0,0.002935420721769333,0.9990638479404655
toniot_custom,scanning,1.0,0.005797101650387049,0.9999705287248388
toniot_custom,xss,1.0,0.009852216579020023,1.0
cicids_improved,tuesday,0.9942693114280701,0.028578709810972214,0.9815670112405871
cicids_improved,wednesday,0.9965609908103943,0.004109300207346678,0.9998404033059997
cicids_improved,thursday,0.9981054067611694,0.029336584731936455,0.9860295580591246
cicids_improved,friday,0.9994916319847107,0.01422841101884842,0.9949277331895564
cse_improved,server1,1.0,0.055793993175029755,0.9775723241831866
cse_improved,server2,1.0,0.031697340309619904,0.99684103907974
