dataset,subset,TPR,FPR,AUC
cicids_custom,Tuesday,0.9968479117415288,0.015655577299412915,0.9920935633555861
cicids_custom,Wednesday,0.9024547456625664,0.017616580310880828,0.9643443607310829
cicids_custom,Thursday,0.9974747474747475,0.02420135527589545,0.9984122444190208
cicids_custom,Friday,0.9945536095685604,0.02003338898163606,0.9971315926658341
toniot_custom,backdoor,1.0,0.028544243577545196,0.9800176327329675
toniot_custom,ddos,0.9879496157518985,0.015843429636533086,0.9917307525153368
toniot_custom,dos,0.1300639658848614,0.007532956685499058,0.9897666630527748
toniot_custom,injection,0.9931824174168519,0.01958955223880597,0.9924022491782303
toniot_custom,mitm,0.9459459459459459,0.027237354085603113,0.9870648858975707
toniot_custom,password,0.9392996108949416,0.02233009708737864,0.9871230554191378
toniot_custom,runsomware,0.9982847341337907,0.014367816091954023,0.9934018125299843
toniot_custom,scanning,1.0,0.017357762777242044,0.9849412206584913
toniot_custom,xss,0.9970599149373448,0.0344488188976378,0.9832297601968537
cicids_improved,tuesday,0.9763610315186246,0.030594055804139837,0.9761686649132172
cicids_improved,wednesday,0.995863194080289,0.02281902755836405,0.983905386070437
cicids_improved,thursday,0.9966355926263405,0.04092051523719761,0.9635972953739993
cicids_improved,friday,0.9977325592759827,0.04747314268421849,0.9699889390379779
cse_improved,server1,0.9992112960434103,0.059012875536480686,0.9701434932484524
cse_improved,server2,0.964214400014757,0.0541922290388548,0.9567600710396933
