dataset,subset,TPR,FPR,AUC
cicids_custom,Tuesday,0.5669856667518616,0.005928853526711464,0.9965517458756485
cicids_custom,Wednesday,0.8936336040496826,0.0,0.9653357000819998
cicids_custom,Thursday,0.9974358677864075,0.003917727619409561,0.9999899545443129
cicids_custom,Friday,0.9961491227149963,0.003338898066431284,0.9987488730526702
toniot_custom,backdoor,1.0,0.011439465917646885,1.0
toniot_custom,ddos,1.0,0.004659832455217838,1.0
toniot_custom,dos,1.0,0.007692307699471712,0.9999958554376658
toniot_custom,injection,1.0,0.0027985074557363987,1.0
toniot_custom,mitm,1.0,0.014720314182341099,1.0
toniot_custom,password,1.0,0.004854368977248669,0.9999998186525522
toniot_custom,runsomware,1.0,0.003913894295692444,0.9990316835839896
toniot_custom,scanning,1.0,0.006756756920367479,0.9996796004352679
toniot_custom,xss,1.0,0.007881773635745049,1.0
cicids_improved,tuesday,0.9899713397026062,0.036806464195251465,0.9757032460382136
cicids_improved,wednesday,0.9637736082077026,0.027289969846606255,0.9754827531039071
cicids_improved,thursday,0.9978963732719421,0.04204156994819641,0.9849075321271575
cicids_improved,friday,0.8124633431434631,0.05191856622695923,0.9705461516882208
cse_improved,server1,0.9999909996986389,0.055793993175029755,0.9769401646190758
cse_improved,server2,1.0,0.05623721703886986,0.9967465625949956
