dataset,subset,model,prop,blackbox_f1,surrogate_f1,fidelity,robustness
cicids_improved,tuesday,AE,0,0.7046945986875316,0.6313885119855269,0.9831054180370434,0.9994806993249091
cicids_improved,tuesday,VAE,0,0.6646721515831463,0.5808196380278761,0.9716808031850441,0.9956724943742427
cicids_improved,tuesday,OCSVM,0,0.7226542249870399,0.4265402843601896,0.9422537649298944,0.9978189371646183
cicids_improved,tuesday,IForest,0,0.6863323500491642,0.6257283729269385,0.9862212220875887,0.9975765968495759
cicids_improved,tuesday,AE,0.01,0.7364341085271316,0.48313384113166485,0.9579020252726329,0.9988575385148001
cicids_improved,tuesday,VAE,0.01,0.6636971046770601,0.4442513756154069,0.9733425653453349,0.9999653799549939
cicids_improved,tuesday,OCSVM,0.01,0.494996664442962,0.6793290577207697,0.9423922451099186,0.997611216894582
cicids_improved,tuesday,IForest,0.01,0.7208882003614769,0.6959122632103689,0.9940799723039639,0.9998961398649818
cicids_improved,tuesday,AE,0.03,0.6271529888551165,0.46232670283303196,0.9706422018348624,0.9997576596849576
cicids_improved,tuesday,VAE,0.03,0.6215864759427828,0.5884194053208138,0.9911718885234551,0.9989267786048122
cicids_improved,tuesday,OCSVM,0.03,0.5221745350500716,0.506258692628651,0.9735502856153713,0.9986151981997576
cicids_improved,tuesday,IForest,0.03,0.0,0.5243770314192848,0.9662108360740869,0.9999307599099879
cicids_improved,tuesday,AE,0.05,0.6184495452576872,0.5447098976109214,0.9785009520512377,0.9974727367145577
cicids_improved,tuesday,VAE,0.05,0.6222802436901654,0.5555555555555556,0.9858750216375282,0.9997230396399516
cicids_improved,tuesday,OCSVM,0.05,0.500514226945492,0.9067273318167045,0.9551324216721482,0.9991691189198546
cicids_improved,tuesday,IForest,0.05,0.0,0.5179533213644525,0.9733079453003289,0.9999653799549939
cicids_improved,tuesday,AE,0.1,0.5644461962948365,0.5267576075550892,0.9884369049679764,0.9996537995499394
cicids_improved,tuesday,VAE,0.1,0.630360789652825,0.42993273542600896,0.9688765795395534,0.999411459234897
cicids_improved,tuesday,OCSVM,0.1,0.5193133047210301,0.5488266464799394,0.9891293058680977,0.9988921585598062
cicids_improved,tuesday,IForest,0.1,0.0,0.562992125984252,0.9646875540938203,0.998822918469794
cicids_improved,wednesday,AE,0,0.9959811287786126,0.992508874882272,0.994443648405534,0.9999681584435848
cicids_improved,wednesday,VAE,0,0.9959075484613256,0.9897476682813967,0.9921669771218418,0.9997293467704701
cicids_improved,wednesday,OCSVM,0,0.9788969372041294,0.9812189125836144,0.9799398194583752,0.9988855455254653
cicids_improved,wednesday,IForest,0,0.9745336853760327,0.9687442674305389,0.9876932384454952,0.9995223766537709
cicids_improved,wednesday,AE,0.01,0.9958228419229482,0.9892646656195512,0.9887917721418223,0.9995860597666014
cicids_improved,wednesday,VAE,0.01,0.9960114126004426,0.9866194751381215,0.9869449618697362,0.9995701389883938
cicids_improved,wednesday,OCSVM,0.01,0.9816263208316056,0.9810366263200766,0.9844931620257599,0.9993154065370715
cicids_improved,wednesday,IForest,0.01,0.9782831737346102,0.9741188489698621,0.9940456289503431,0.999649742879432
cicids_improved,wednesday,AE,0.03,0.9963020120548584,0.9888656823910695,0.988234544904555,0.9997134259922625
cicids_improved,wednesday,VAE,0.03,0.9962142170709689,0.9907098377472441,0.9914823836589133,0.9999203961089618
